Table:	NopsData										
SkiYear	Event	AgeGroup	SortSeq	Base	Adj	RatingMedian	RatingRec	RatingOpen	OverallBase	OverallExp	EventsReqd
16	Slalom	JW	1	1500	0	0	0	0	0	0	0	
16	Trick	JW	2	15000	0	0	0	0	0	0	0	
16	Jump	JW	3	1500	26.4	0	0	0	0	0	0	
16	Slalom	IB	1	1500	0	0	0	0	0	0	3	
16	Trick	IB	2	15000	0	0	0	0	0	0	3	
16	Jump	IB	3	1500	28.65	0	0	0	0	0	3	
16	Slalom	IG	1	1500	0	0	0	0	0	0	3	
16	Trick	IG	2	15000	0	0	0	0	0	0	3	
16	Jump	IG	3	1500	23.1	0	0	0	0	0	3	
16	Slalom	JB	1	1500	0	0	0	0	0	0	3	
16	Trick	JB	2	15000	0	0	0	0	0	0	3	
16	Jump	JB	3	1500	19.65	0	0	0	0	0	3	
16	Slalom	JG	1	1500	0	0	0	0	0	0	3	
16	Trick	JG	2	15000	0	0	0	0	0	0	3	
16	Jump	JG	3	1500	18	0	0	0	0	0	3	
16	Slalom	S1	1	1500	0	0	0	0	0	0	3	
16	Trick	S1	2	15000	0	0	0	0	0	0	3	
16	Jump	S1	3	1500	31.35	0	0	0	0	0	3	
16	Slalom	S2	1	1500	0	0	0	0	0	0	3	
16	Trick	S2	2	15000	0	0	0	0	0	0	3	
16	Jump	S2	3	1500	26.85	0	0	0	0	0	3	
16	Slalom	S3	1	1500	0	0	0	0	0	0	3	
16	Trick	S3	2	15000	0	0	0	0	0	0	3	
16	Jump	S3	3	1500	22.8	0	0	0	0	0	3	
16	Slalom	S4	1	1500	0	0	0	0	0	0	3	
16	Trick	S4	2	15000	0	0	0	0	0	0	3	
16	Jump	S4	3	1500	23.25	0	0	0	0	0	3	
16	Slalom	L1	1	1500	0	0	0	0	0	0	3	
16	Trick	L1	2	15000	0	0	0	0	0	0	3	
16	Jump	L1	3	1500	18.3	0	0	0	0	0	3	
16	Slalom	L2	1	1500	0	0	0	0	0	0	3	
16	Trick	L2	2	15000	0	0	0	0	0	0	3	
16	Jump	L2	3	1500	16.05	0	0	0	0	0	3	
16	Slalom	L3	1	1500	0	0	0	0	0	0	3	
16	Trick	L3	2	15000	0	0	0	0	0	0	3	
16	Jump	L3	3	1500	16.05	0	0	0	0	0	3	
16	Slalom	L4	1	1500	0	0	0	0	0	0	3	
16	Trick	L4	2	15000	0	0	0	0	0	0	3	
16	Jump	L4	3	1500	16.05	0	0	0	0	0	3	
15	Slalom	B1	1	1500	0	26	81	0	24	1.012	2
15	Trick	B1	2	15000	0	350	4090	0	0	0.447	2
15	Jump	B1	3	1500	0	999	999	0	0	0	2
15	Slalom	B2	1	1500	0	58	104	0	8	1.842	3
15	Trick	B2	2	15000	0	800	7870	0	0	0.481	3
15	Jump	B2	3	1500	21.45	49	143	0	0	0.74	3
15	Slalom	B3	1	1500	0	76.5	115.5	0	8	2.65	3
15	Trick	B3	2	15000	0	1550	10460	0	0	0.575	3
15	Jump	B3	3	1500	28.65	97	191	0	0	1.27	3
15	Slalom	M1	1	1500	0	77.5	121	0	8	2.456	3
15	Trick	M1	2	15000	0	700	11070	0	0	0.398	3
15	Jump	M1	3	1500	31.35	84	209	0	0	0.903	3
15	Slalom	M2	1	1500	0	88	122	0	8	3.364	3
15	Trick	M2	2	15000	0	1000	12090	0	0	0.441	3
15	Jump	M2	3	1500	32.4	108	216	0	0	1.238	3
15	Slalom	M3	1	1500	0	85.5	112.25	0	8	4.024	3
15	Trick	M3	2	15000	0	1500	12070	0	0	0.527	3
15	Jump	M3	3	1500	29.7	91	198	0	0	1.088	3
15	Slalom	M4	1	1500	0	90.5	112	0	8	5.148	3
15	Trick	M4	2	15000	0	1200	10420	0	0	0.508	3
15	Jump	M4	3	1500	26.85	101	179	0	0	1.528	3
15	Slalom	M5	1	1500	0	87.5	110	0	8	4.787	3
15	Trick	M5	2	15000	0	1500	5490	0	0	0.847	3
15	Jump	M5	3	1500	23.4	71	156	0	0	1.072	3
15	Slalom	M6	1	1500	0	81	107	0	8	3.921	3
15	Trick	M6	2	15000	0	1350	4050	0	0	1	3
15	Jump	M6	3	1500	21.45	69	143	0	0	1.171	3
15	Slalom	M7	1	1500	0	79	100	0	8	4.616	3
15	Trick	M7	2	15000	0	1000	3750	0	0	0.831	3
15	Jump	M7	3	1500	16.8	53	112	0	0	1.136	3
15	Slalom	M8	1	1500	0	73	91.5	0	8	4.786	2
15	Trick	M8	2	15000	0	1200	2580	0	0	1.435	2
15	Jump	M8	3	1500	14.4	38	96	0	0	0.886	2
15	Slalom	M9	1	1500	0	67.5	86	0	8	4.437	2
15	Trick	M9	2	15000	0	900	1970	0	0	1.402	2
15	Jump	M9	3	1500	13.2	34	88	0	0	0.858	2
15	Slalom	MA	1	1500	0	30	73.5	0	8	1.129	2
15	Trick	MA	2	15000	0	600	1600	0	0	1.12	2
15	Jump	MA	3	1500	7.05	30	47	0	0	1.982	2
15	Slalom	MB	1	1500	0	25	40	0	8	2.005	2
15	Trick	MB	2	15000	0	500	1260	0	0	1.189	2
15	Jump	MB	3	1500	5.1	21	34	0	0	1.839	2
15	Slalom	G1	1	1500	0	13	80	0	40	0.669	2
15	Trick	G1	2	15000	0	300	5340	0	0	0.382	2
15	Jump	G1	3	1500	149.85	999	999	0	0	0	2
15	Slalom	G2	1	1500	0	53	95	0	8	1.828	3
15	Trick	G2	2	15000	0	700	7660	0	0	0.459	3
15	Jump	G2	3	1500	18	39	120	0	0	0.695	3
15	Slalom	G3	1	1500	0	75	103	0	8	3.426	3
15	Trick	G3	2	15000	0	1700	9880	0	0	0.624	3
15	Jump	G3	3	1500	23.1	56	154	0	0	0.796	3
15	Slalom	W1	1	1500	0	57.5	109	0	8	1.684	3
15	Trick	W1	2	15000	0	600	8930	0	0	0.407	3
15	Jump	W1	3	1500	23.25	45	155	0	0	0.61	3
15	Slalom	W2	1	1500	0	69	111	0	8	2.285	3
15	Trick	W2	2	15000	0	1200	9070	0	0	0.543	3
15	Jump	W2	3	1500	23.7	70	158	0	0	1.032	3
15	Slalom	W3	1	1500	0	74	105	0	8	3.107	3
15	Trick	W3	2	15000	0	1950	6450	0	0	0.918	3
15	Jump	W3	3	1500	23.25	70	155	0	0	1.06	3
15	Slalom	W4	1	1500	0	65	100.5	0	8	2.477	3
15	Trick	W4	2	15000	0	2200	5600	0	0	1.176	3
15	Jump	W4	3	1500	19.65	51	131	0	0	0.867	3
15	Slalom	W5	1	1500	0	69.5	92	0	8	3.848	3
15	Trick	W5	2	15000	0	1500	5160	0	0	0.889	3
15	Jump	W5	3	1500	16.2	48	108	0	0	1.036	3
